Unique ID,Email,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Q1 - Which Title Best Fits your Current Role?.1,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Average Salary,Q4 - What Industry do you work in?.1,Q4 - What Industry do you work in?.2,Q5 - Favorite Programming Language.1,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important t","Q8 - If you were to look for a new job today, what would be the most important.1",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?.1,Q11 - Which Country do you live in?.2,Q12 - Highest Level of Education,Q13 - Ethnicity
62a33de124a26260273826b2,anonymous,10-Jun-22,8:49:00 AM,12:01:21 AM,Data Analyst,No,0-40k,20,Other ,Please Specify):Aviation,Python,1,1,1,1,2,0,Very Difficult,Better Salary,null,Male,28,Other ,Please Specify):Nigeria,,Black or African American
62a33dedd8c00e9f5419ce2b,anonymous,10-Jun-22,8:49:00 AM,12:01:23 AM,Data Analyst,Yes,41k-65k,53,Finance,null,Python,5,5,5,5,5,5,Easy,Remote Work,null,Male,29,Other ,Please Specify):Kenya,,Black or African American
62a33dfbd8c00e9f5419ceda,anonymous,10-Jun-22,8:50:00 AM,12:01:35 AM,Data Analyst,Yes,106k-125k,115.5,Tech,null,Other,10,5,10,6,10,10,Neither easy nor difficult,Remote Work,null,Female,31,United States,null,,White or Caucasian
62a33e38f3072dd8926221d3,anonymous,10-Jun-22,8:51:00 AM,12:01:25 AM,Data Analyst,Yes,0-40k,20,Healthcare,null,Python,5,6,8,8,7,1,Neither easy nor difficult,Remote Work,null,Male,28,Other ,Please Specify):Azerbaijan,,White or Caucasian
62a33e54d8c00e9f5419cfe9,anonymous,10-Jun-22,8:51:00 AM,12:01:47 AM,Data Analyst,No,0-40k,20,Finance,null,Python,4,4,4,4,4,4,Neither easy nor difficult,Better Salary,null,Male,32,Other ,Please Specify):Argentina,,Hispanic or Latino
62a33e62575fa3a5ae88aabf,anonymous,10-Jun-22,8:51:00 AM,12:02:14 AM,Data Analyst,No,0-40k,20,Tech,null,Python,7,8,8,8,3,8,Easy,Better Salary,null,Male,24,Other ,Please Specify):Sudan,,Black or African American
62a33e63cec54911e9ca4f99,anonymous,10-Jun-22,8:51:00 AM,12:02:21 AM,Data Analyst,No,0-40k,20,Tech,null,Python,4,6,6,6,7,7,Easy,Good Work/Life Balance,null,Male,31,India,null,,Asian or Asian American
62a33e72bae91e4b8b82ea1a,anonymous,10-Jun-22,8:52:00 AM,12:02:07 AM,Data Analyst,No,66k-85k,75.5,Other ,Please Specify):Insurance,Other,7,10,5,5,5,2,Difficult,Other ,Please Specify):Responsibilities,Male,23,United States,null,,White or Caucasian
62a33e890f8c8599d5af13b9,anonymous,10-Jun-22,8:52:00 AM,12:01:20 AM,Data Analyst,Yes,106k-125k,115.5,Other ,Please Specify):Energy,Python,1,6,9,1,0,2,Difficult,Remote Work,null,Female,33,United States,null,,Asian or Asian American
62a33e8bf8d5efcc22f7c79a,anonymous,10-Jun-22,8:52:00 AM,12:01:34 AM,Data Analyst,No,86k-105k,95.5,Healthcare,null,Other,6,7,7,7,7,4,Very Easy,Better Salary,null,Male,43,United States,null,,White or Caucasian
62a33e90cec54911e9ca5031,anonymous,10-Jun-22,8:52:00 AM,12:01:34 AM,Student/Looking/None,Yes,0-40k,20,Other ,Please Specify):Oil and gas,R,0,0,5,0,0,0,Very Difficult,Remote Work,null,Female,23,Other ,Please Specify):Nigeria,,Other (Please Specify):African
62a33e9df8f756164585277b,anonymous,10-Jun-22,8:52:00 AM,12:01:47 AM,Student/Looking/None,Yes,41k-65k,53,Finance,null,Python,10,7,10,10,5,3,Very Difficult,Good Work/Life Balance,null,Male,31,United States,null,,Black or African American
62a33eb6bc6861bf3176c5a3,anonymous,10-Jun-22,8:53:00 AM,12:01:38 AM,Data Analyst,Yes,66k-85k,75.5,Finance,null,Python,5,6,7,5,4,4,Neither easy nor difficult,Other ,Please Specify):Development,Male,31,United Kingdom,null,,White or Caucasian
62a33ee0bae91e4b8b82eaec,anonymous,10-Jun-22,8:53:00 AM,12:03:30 AM,Data Analyst,Yes,0-40k,20,Other ,Please Specify),Python,8,7,8,7,7,7,Difficult,Good Work/Life Balance,null,Male,25,India,null,,Asian or Asian American
62a33ee80f8c8599d5af14b7,anonymous,10-Jun-22,8:54:00 AM,12:01:37 AM,Data Engineer,No,125k-150k,137.5,Tech,null,Other,8,10,10,9,9,9,Easy,Better Salary,null,Male,43,United States,null,,White or Caucasian
62a33efe0a77c1a77f65bf1e,anonymous,10-Jun-22,8:54:00 AM,12:02:08 AM,Data Analyst,No,41k-65k,53,Finance,null,Python,2,3,5,5,5,5,Difficult,Better Salary,null,Female,26,Canada,null,,Other (Please Specify):South Asian
62a33f0ef408bae018ed3aeb,anonymous,10-Jun-22,8:54:00 AM,12:03:54 AM,Other ,No,41k-65k,53,Other ,Please Specify):Automotive,Python,5,10,8,8,8,7,Neither easy nor difficult,Remote Work,null,Male,32,Other ,Please Specify):Japan,,White or Caucasian
62a33f17f8f7561645852867,anonymous,10-Jun-22,8:54:00 AM,12:02:28 AM,Other ,No,0-40k,20,Tech,null,Python,2,9,7,7,5,6,Difficult,Better Salary,null,Male,31,Other ,Please Specify):Greece,,White or Caucasian
62a33f52bc6861bf3176c72c,anonymous,10-Jun-22,8:55:00 AM,12:01:33 AM,Data Analyst,Yes,86k-105k,95.5,Healthcare,null,Other,3,5,6,4,4,5,Neither easy nor difficult,Better Salary,null,Male,29,United States,null,,White or Caucasian
62a33f56cf255543173005e9,anonymous,10-Jun-22,8:55:00 AM,12:00:56 AM,Data Analyst,Yes,0-40k,20,Other ,Please Specify):Automotive ,Python,3,1,3,2,3,1,Neither easy nor difficult,Good Culture,null,Male,24,Other ,Please Specify):Perú ,,Hispanic or Latino
62a33f5a5d257a28a30d7bb5,anonymous,10-Jun-22,8:55:00 AM,12:02:38 AM,Student/Looking/None,Yes,41k-65k,53,Construction,null,Python,2,0,2,2,0,0,Very Difficult,Remote Work,null,Male,34,United States,null,,White or Caucasian
62a33fa5cec54911e9ca51f1,anonymous,10-Jun-22,8:57:00 AM,12:01:52 AM,Data Analyst,Yes,41k-65k,53,Other ,Please Specify):Utili,Other,5,6,6,5,4,6,Very Difficult,Better Salary,null,Male,42,Other ,Please Specify):Australia,,Other (Please Specify):Indian
62a33fcb575fa3a5ae88ad59,anonymous,10-Jun-22,8:57:00 AM,12:02:03 AM,Student/Looking/None,Yes,0-40k,20,Other ,Please Specify):Not working yet,JavaScript,0,0,0,0,0,0,Difficult,Remote Work,null,Female,40,United States,null,,Asian or Asian American
62a33fcf18134ddc75ce91c3,anonymous,10-Jun-22,8:57:00 AM,12:02:32 AM,Student/Looking/None,No,41k-65k,53,Telecommunication,null,Python,3,1,3,4,0,3,Easy,Good Work/Life Balance,null,Male,43,Other ,Please Specify):Spain,,White or Caucasian
62a34006d8c00e9f5419d341,anonymous,10-Jun-22,8:58:00 AM,12:02:39 AM,Student/Looking/None,Yes,0-40k,20,Construction,null,Python,0,0,0,0,0,0,Very Difficult,Better Salary,null,Male,23,Other ,Please Specify):Kenya ,,Other (Please Specify):Kenyan African 
62a34020575fa3a5ae88ade0,anonymous,10-Jun-22,8:59:00 AM,12:01:11 AM,Student/Looking/None,Yes,0-40k,20,Education,null,Python,5,5,3,5,2,6,Difficult,Better Salary,null,Male,23,Other ,Please Specify):Japan,,Asian or Asian American
62a34038b4da29969c62eafe,anonymous,10-Jun-22,8:59:00 AM,12:03:55 AM,Data Analyst,Yes,86k-105k,95.5,Other ,Please Specify):Manufa,Python,8,6,2,3,6,7,Neither easy nor difficult,Other ,"Please Specify):Strong organizational data strategy, high-performing team",Male,28,United States,null,,White or Caucasian
62a3406b575fa3a5ae88ae78,anonymous,10-Jun-22,9:00:00 AM,12:01:25 AM,Data Analyst,No,66k-85k,75.5,Finance,null,Other,5,7,1,1,0,8,Neither easy nor difficult,Better Salary,null,Male,32,United States,null,,White or Caucasian
62a340cab4da29969c62ec01,anonymous,10-Jun-22,9:02:00 AM,12:02:47 AM,Data Analyst,Yes,66k-85k,75.5,Other ,Please Specify):Manufacturing (Chemicals),R,7,8,10,8,9,9,Difficult,Remote Work,null,Female,41,United States,null,,White or Caucasian
62a340d62e54c9003e5324b4,anonymous,10-Jun-22,9:02:00 AM,12:00:56 AM,Data Analyst,Yes,41k-65k,53,Finance,null,Python,5,6,6,6,6,6,Neither easy nor difficult,Remote Work,null,Male,33,United Kingdom,null,High School,White or Caucasian
62a340e10a77c1a77f65c2e7,anonymous,10-Jun-22,9:02:00 AM,12:01:57 AM,Other ,Yes,150k-225k,187.5,Tech,null,Python,10,8,9,8,8,10,Easy,Good Work/Life Balance,null,Male,38,United States,null,,Hispanic or Latino
62a340f5bc6861bf3176caa4,anonymous,10-Jun-22,9:02:00 AM,12:02:32 AM,Data Analyst,No,0-40k,20,Tech,null,Other,8,8,8,8,5,10,Easy,Better Salary,null,Female,22,India,null,,Other (Please Specify):Indian
62a34117cec54911e9ca54e7,anonymous,10-Jun-22,9:03:00 AM,12:01:59 AM,Student/Looking/None,Yes,0-40k,20,Other ,Please Specify):Currently studying . Previously worked in Power Generation,R,1,3,6,6,6,9,Difficult,Remote Work,null,Male,36,Other ,Please Specify):Barbados,Bachelors,Black or African American
62a3413a5d257a28a30d8074,anonymous,10-Jun-22,9:03:00 AM,12:01:18 AM,Data Engineer,No,66k-85k,75.5,Finance,null,Python,2,1,1,1,3,7,Easy,Remote Work,null,Female,28,United States,null,Masters,Asian or Asian American
62a341a1f3072dd8926229a5,anonymous,10-Jun-22,9:05:00 AM,12:08:11 AM,Student/Looking/None,Yes,0-40k,20,Other ,"Please Specify):Not working at the moment, but previously I have been into Education industry",Other,null,null,null,null,null,7,Very Easy,Other ,Please Specify):I would say a combination of good work/life balance with a better pay and the exposure to a workplace that supposed growth,Male,30,Other ,Please Specify):South Africa,,"Other (Please Specify):Black African, Zimbabwean Citizen"
62a341b0f8f7561645852d1d,anonymous,10-Jun-22,9:05:00 AM,12:01:44 AM,Data Analyst,Yes,66k-85k,75.5,Tech,null,Python,6,6,6,6,5,6,Difficult,Other ,Please Specify):Currently very happy with where I am.,Female,24,United States,null,Bachelors,Hispanic or Latino
62a341e8f8d5efcc22f7d002,anonymous,10-Jun-22,9:06:00 AM,12:01:58 AM,Other ,No,41k-65k,53,Other ,Please Specify):Third Party Logistics ,C/C++,3,6,7,7,0,3,Very Difficult,Better Salary,null,Male,29,United States,null,Bachelors,White or Caucasian
62a34210cf25554317300c02,anonymous,10-Jun-22,9:07:00 AM,12:02:15 AM,Data Analyst,No,0-40k,20,Tech,null,Python,4,9,10,9,9,10,Easy,Better Salary,null,Male,29,Other ,Please Specify):Colombia,Associates,Hispanic or Latino
62a3424eb4da29969c62eedd,anonymous,10-Jun-22,9:08:00 AM,12:02:04 AM,Other ,Yes,41k-65k,53,Other ,Please Specify):Automotive,Python,6,8,8,7,9,7,Neither easy nor difficult,Good Work/Life Balance,null,Male,38,Other ,Please Specify):Germany,Masters,White or Caucasian
62a34256bae91e4b8b82f16d,anonymous,10-Jun-22,9:08:00 AM,12:01:46 AM,Data Analyst,Yes,0-40k,20,Finance,null,Other,3,5,4,3,3,3,Difficult,Good Work/Life Balance,null,Male,31,Other ,Please Specify):Bulgaria,Masters,White or Caucasian
62a3426cf408bae018ed409b,anonymous,10-Jun-22,9:09:00 AM,12:01:33 AM,Student/Looking/None,No,0-40k,20,Tech,null,Python,1,4,5,5,1,1,Difficult,Better Salary,null,Male,25,United States,null,Masters,White or Caucasian
62a34272f8d5efcc22f7d15f,anonymous,10-Jun-22,9:09:00 AM,12:01:09 AM,Data Analyst,No,66k-85k,75.5,Telecommunication,null,Python,4,6,4,5,4,4,Neither easy nor difficult,Better Salary,null,Male,24,United States,null,Masters,White or Caucasian
62a34340bc6861bf3176d05b,anonymous,10-Jun-22,9:12:00 AM,12:04:03 AM,Other ,Yes,41k-65k,53,Tech,null,Python,6,7,4,3,9,8,Difficult,Better Salary,null,Male,28,Other ,Please Specify):Turkey,Bachelors,White or Caucasian
62a34383b4da29969c62f1be,anonymous,10-Jun-22,9:13:00 AM,12:01:03 AM,Student/Looking/None,No,0-40k,20,Tech,null,Python,7,5,8,0,0,0,Neither easy nor difficult,Good Culture,null,Female,23,India,null,Bachelors,Asian or Asian American
62a34389cec54911e9ca5a22,anonymous,10-Jun-22,9:13:00 AM,12:01:01 AM,Data Engineer,No,0-40k,20,Tech,null,R,2,3,2,5,5,7,Neither easy nor difficult,Remote Work,null,Male,21,Other ,Please Specify):Spain,Masters,Hispanic or Latino
62a343a22e54c9003e532a2a,anonymous,10-Jun-22,9:14:00 AM,12:02:43 AM,Data Analyst,No,0-40k,20,Other ,Please Specify):Energy,Python,4,4,4,4,5,6,Neither easy nor difficult,Remote Work,null,Male,29,Other ,Please Specify):France,Bachelors,Other (Please Specify):Human
62a343d9f3072dd892622fe4,anonymous,10-Jun-22,9:15:00 AM,12:03:15 AM,Data Analyst,Yes,41k-65k,53,Tech,null,Python,5,6,7,7,7,6,Difficult,Better Salary,null,Male,25,United States,null,Bachelors,Asian or Asian American
62a34400d8c00e9f5419dc2b,anonymous,10-Jun-22,9:15:00 AM,12:01:24 AM,Data Analyst,No,41k-65k,53,Tech,null,Python,6,6,6,6,3,5,Difficult,Good Culture,null,Male,27,Other ,Please Specify):Germany,Masters,Black or African American
62a34425f8d5efcc22f7d525,anonymous,10-Jun-22,9:16:00 AM,12:01:28 AM,Data Analyst,Yes,41k-65k,53,Tech,null,Python,3,9,10,8,9,9,Easy,Better Salary,null,Male,23,India,null,Bachelors,Asian or Asian American
62a34449575fa3a5ae88b637,anonymous,10-Jun-22,9:16:00 AM,12:02:36 AM,Other ,No,86k-105k,95.5,Other ,Please Specify):Food & Beverage ,R,4,3,3,5,5,5,Difficult,Better Salary,null,Male,32,United States,null,Masters,Asian or Asian American
62a3445dcf255543173011e1,anonymous,10-Jun-22,9:17:00 AM,12:02:41 AM,Student/Looking/None,Yes,106k-125k,115.5,Healthcare,null,Python,5,5,7,5,7,7,Neither easy nor difficult,Remote Work,null,Male,22,India,null,Bachelors,Asian or Asian American
62a3447a575fa3a5ae88b6c0,anonymous,10-Jun-22,9:17:00 AM,12:04:14 AM,Data Analyst,No,0-40k,20,Tech,null,Python,2,9,9,8,6,2,Easy,Better Salary,null,Male,25,Other ,Please Specify):Thailand,Bachelors,Asian or Asian American
62a3449f7dc029e2d66bf5d1,anonymous,10-Jun-22,9:18:00 AM,12:01:15 AM,Data Analyst,Yes,0-40k,20,Telecommunication,null,Python,2,8,6,6,5,5,Neither easy nor difficult,Remote Work,null,Female,36,Other ,Please Specify):Germany,Masters,White or Caucasian
62a344c5f408bae018ed4806,anonymous,10-Jun-22,9:19:00 AM,12:02:21 AM,Data Analyst,Yes,106k-125k,115.5,Tech,null,Other,10,6,9,5,8,7,Easy,Good Work/Life Balance,null,Female,27,United States,null,Bachelors,White or Caucasian
62a344c6f8d5efcc22f7d6e1,anonymous,10-Jun-22,9:19:00 AM,12:02:17 AM,Other ,Yes,0-40k,20,Tech,null,Python,5,5,5,5,5,1,Neither easy nor difficult,Other ,Please Specify):My passion is to become a Data analyst ,Male,23,India,null,Bachelors,Asian or Asian American
62a344e1f3072dd892623328,anonymous,10-Jun-22,9:19:00 AM,12:01:32 AM,Student/Looking/None,Yes,0-40k,20,Tech,null,Other,2,3,3,3,3,6,Very Difficult,Better Salary,null,Male,26,Other ,Please Specify):Netherlands,Bachelors,Black or African American
62a3450424a262602738357f,anonymous,10-Jun-22,9:20:00 AM,12:01:19 AM,Other ,No,86k-105k,95.5,Healthcare,null,Python,9,10,10,10,10,10,Very Easy,Good Work/Life Balance,null,Female,33,United States,null,PhD,Hispanic or Latino
62a3452818134ddc75ce9e1b,anonymous,10-Jun-22,9:20:00 AM,12:01:33 AM,Data Analyst,Yes,106k-125k,115.5,Other ,Please Specify):Automotive,Python,3,5,3,3,5,5,Easy,Better Salary,null,Male,27,Other ,Please Specify):Turkey,Masters,White or Caucasian
62a345490a77c1a77f65cc5b,anonymous,10-Jun-22,9:21:00 AM,12:01:38 AM,Data Analyst,Yes,41k-65k,53,Education,null,R,3,6,5,4,3,4,Neither easy nor difficult,Better Salary,null,Male,42,United States,null,Associates,White or Caucasian
62a3455bbc6861bf3176d57a,anonymous,10-Jun-22,9:21:00 AM,12:02:36 AM,Data Analyst,Yes,0-40k,20,Tech,null,Python,6,7,8,7,7,8,Easy,Good Work/Life Balance,null,Male,29,Other ,Please Specify):Spain,Masters,White or Caucasian
62a3457bf8d5efcc22f7da17,anonymous,10-Jun-22,9:22:00 AM,12:01:08 AM,Data Analyst,No,125k-150k,137.5,Tech,null,Python,4,7,6,4,2,4,Easy,Better Salary,null,Female,27,United States,null,Masters,Asian or Asian American
62a345b2bae91e4b8b82fad6,anonymous,10-Jun-22,9:22:00 AM,12:01:41 AM,Student/Looking/None,No,41k-65k,53,Healthcare,null,Python,0,10,10,10,4,2,Neither easy nor difficult,Remote Work,null,Female,39,United States,null,Bachelors,Hispanic or Latino
62a345c47dc029e2d66bf80a,anonymous,10-Jun-22,9:23:00 AM,12:01:36 AM,Data Analyst,Yes,41k-65k,53,Telecommunication,null,Python,6,6,7,5,6,7,Difficult,Good Culture,null,Male,31,Other ,Please Specify):Denmark,Masters,White or Caucasian
62a345e25d257a28a30d8b43,anonymous,10-Jun-22,9:23:00 AM,12:03:09 AM,Data Analyst,Yes,66k-85k,75.5,Other ,Please Specify):Marketing,Python,7,7,5,9,7,8,Easy,Good Work/Life Balance,null,Male,29,Other ,Please Specify):Brazil,Bachelors,Hispanic or Latino
62a34646f8d5efcc22f7dc5c,anonymous,10-Jun-22,9:25:00 AM,12:01:22 AM,Data Analyst,Yes,66k-85k,75.5,Education,null,R,7,7,7,7,4,7,Easy,Remote Work,null,Male,31,United States,null,Masters,White or Caucasian
62a34687f408bae018ed4c52,anonymous,10-Jun-22,9:26:00 AM,12:01:30 AM,Data Analyst,Yes,0-40k,20,Finance,null,Python,10,9,9,10,9,10,Neither easy nor difficult,Good Culture,null,Male,30,Other ,Please Specify):Mexico,Masters,Hispanic or Latino
62a346a37dc029e2d66bfa6d,anonymous,10-Jun-22,9:26:00 AM,12:03:05 AM,Data Engineer,Yes,0-40k,20,Tech,null,Python,7,8,6,5,5,9,Difficult,Better Salary,null,Male,33,Other ,Please Specify):Mexico,Masters,Hispanic or Latino
62a346a95d257a28a30d8cb9,anonymous,10-Jun-22,9:27:00 AM,12:00:58 AM,Data Analyst,No,66k-85k,75.5,Other ,Please Specify):Retail,Python,7,8,9,7,7,7,Neither easy nor difficult,Better Salary,null,Male,25,United States,null,Bachelors,White or Caucasian
62a346b4bc6861bf3176d7ce,anonymous,10-Jun-22,9:27:00 AM,12:01:09 AM,Student/Looking/None,No,0-40k,20,Tech,null,R,0,0,0,0,0,0,Neither easy nor difficult,Good Work/Life Balance,null,Male,23,India,null,Bachelors,Other (Please Specify):Indian
62a346cef8f756164585385b,anonymous,10-Jun-22,9:27:00 AM,12:01:51 AM,Data Analyst,Yes,41k-65k,53,Other ,Please Specify):Advertising,Other,4,4,3,3,5,6,Very Difficult,Better Salary,null,Male,33,United States,null,Bachelors,Asian or Asian American
62a346d724a2626027383abd,anonymous,10-Jun-22,9:27:00 AM,12:02:29 AM,Other ,Yes,66k-85k,75.5,Other ,Please Specify):Logistics,Python,7,9,9,8,8,9,Neither easy nor difficult,Good Work/Life Balance,null,Male,35,Other ,Please Specify):Chile,Bachelors,Hispanic or Latino
62a346d90a77c1a77f65d08d,anonymous,10-Jun-22,9:27:00 AM,12:02:39 AM,Data Analyst,No,41k-65k,53,Other ,Please Specify):Staffing and Recruting ,Python,6,8,5,null,6,9,Neither easy nor difficult,Remote Work,null,Female,42,Other ,Please Specify):Greece,Masters,White or Caucasian
62a34726f8d5efcc22f7dec7,anonymous,10-Jun-22,9:29:00 AM,12:01:14 AM,Data Analyst,No,66k-85k,75.5,Tech,null,Python,3,4,2,1,0,4,Neither easy nor difficult,Better Salary,null,Male,25,United States,null,Bachelors,White or Caucasian
62a3476c5d257a28a30d8e6d,anonymous,10-Jun-22,9:30:00 AM,12:03:00 AM,Data Analyst,No,86k-105k,95.5,Other ,Please Specify):Automotive,Python,5,4,5,4,3,6,Neither easy nor difficult,Other ,"Please Specify):Different job title, either product owner or consulting",Male,23,United States,null,Bachelors,White or Caucasian
62a347b4f8f7561645853a98,anonymous,10-Jun-22,9:31:00 AM,12:02:02 AM,Other ,No,41k-65k,53,Healthcare,null,JavaScript,2,4,6,5,3,4,Easy,Better Salary,null,Female,51,United States,null,Bachelors,Black or African American
62a347f6b4da29969c62fb79,anonymous,10-Jun-22,9:32:00 AM,12:01:45 AM,Data Analyst,No,0-40k,20,Telecommunication,null,Other,1,4,4,3,2,6,Very Difficult,Better Salary,null,Male,30,United Kingdom,null,Bachelors,Black or African American
62a3483018134ddc75cea4e6,anonymous,10-Jun-22,9:33:00 AM,12:01:41 AM,Data Analyst,Yes,41k-65k,53,Finance,null,Python,8,9,9,9,9,8,Very Difficult,Better Salary,null,Male,23,India,null,Bachelors,Asian or Asian American
62a348650f8c8599d5af2b77,anonymous,10-Jun-22,9:34:00 AM,12:01:06 AM,Other ,Yes,41k-65k,53,Other ,Please Specify):Advertising,R,3,5,5,6,3,4,Neither easy nor difficult,Better Salary,null,Male,24,Canada,null,Bachelors,Asian or Asian American
